Fiche client,Non,Prénom,E-mail,Âge,Sex,CIN,Activité,NumCompte,Décision,Décideur,Date decision,Date ouverture,Date de crédit,Montant de crédit,Code client,Nom de chargé clientèle,Solde Débit,Nature de compte,Mouvement,Référence dossier recouvrement,Cours de crédit,Anc,Anc debit (date)
14,Wagner,John,laura31@example.net,33,F,912136481551,Commerce et Dist.,61984,CTX,CCT,2023-07-07,2023-07-07,2022-11-03,134668,CUST14,Kristen Meyer,2586,TRE,Versement,REF14,3.23,2,2023-02-27
15,Smith,Clayton,dyerjulie@example.org,20,F,654885528652,Transport,54747,Arrangement C.,CCT,2022-01-27,2023-09-14,2023-02-13,697888,CUST15,Leah Williams,1314,Société,Versement,REF15,1.65,8,2023-04-16
16,Pope,Anthony,patricia06@example.net,34,F,946161798900,Agriculture,54798,Arrangement C.,CR,2021-08-31,2022-10-17,2023-05-25,862852,CUST16,Kathryn Noble,700,Société,Retrait,REF16,2.65,9,2023-01-07
17,Rangel,Jerome,timothy42@example.org,34,F,516670805417,Travaux Publics,40247,Arrangement C.,CR,2021-01-08,2023-05-27,2023-05-11,415789,CUST17,Gary Hendrix,877,TRE,Retrait,REF17,1.44,7,2022-08-01
18,Williams,Veronica,kimberlylindsey@example.net,33,M,288499351855,Commerce et Dist.,77183,Arrangement C.,CCT,2019-09-22,2023-05-23,2023-08-18,374327,CUST18,Michelle Sawyer,833,Personnel,Virement,REF18,3.14,4,2022-09-10
19,Brown,Scott,hannawilliam@example.com,51,M,67571701736,Travaux Publics,31616,Arrangement C.,CCT,2020-02-05,2023-03-17,2023-03-25,243622,CUST19,Anthony Pearson,3725,Personnel,Versement,REF19,2.34,1,2023-08-23
20,Sheppard,Stephen,stacy84@example.com,54,F,81599747243,Agriculture,2407,CTX,CR,2020-06-09,2023-10-02,2023-01-28,373847,CUST20,Brandon Smith,3403,TRE,Retrait,REF20,1.37,6,2023-02-04
21,Stevenson,Renee,pamelacollier@example.org,32,F,218167920415,Transport,57763,Arrangement C.,CR,2018-11-25,2023-08-26,2023-07-15,20160,CUST21,Wesley Martinez,4561,TRE,Virement,REF21,3.05,9,2022-03-23
22,Ellis,Samuel,ehancock@example.com,39,M,646726313457,Agriculture,57983,CTX,CR,2018-11-13,2022-12-03,2023-08-09,666792,CUST22,Monica Martin,3134,TRE,Virement,REF22,1.72,2,2022-12-04
23,Porter,Kristin,bradleybrewer@example.com,39,F,16010927087,Transport,67612,CTX,CR,2020-08-14,2023-08-14,2023-07-01,635903,CUST23,Ralph Park,4901,Personnel,Virement,REF23,1.49,2,2022-04-16
24,Russell,Brenda,xglover@example.net,35,M,670081603010,Transport,12829,CTX,CR,2020-12-03,2023-03-25,2022-12-05,340382,CUST24,Robert Campos,2028,Personnel,Virement,REF24,4.88,2,2022-09-02
25,Terrell,Alec,xwillis@example.net,50,M,34463658038,Tourisme,59368,CTX,CCT,2022-10-29,2023-06-12,2023-03-30,90942,CUST25,John Morris,158,Personnel,Retrait,REF25,4.9,6,2022-04-30
26,Taylor,Marc,omendez@example.net,55,F,551724012193,Autre activité,28758,CTX,CCT,2019-10-18,2022-10-17,2023-07-23,473002,CUST26,Michael Blair,450,Personnel,Retrait,REF26,2.0,9,2022-07-13
27,Sandoval,Carl,taylorchristina@example.org,18,F,535346825101,Tourisme,50685,CTX,CR,2021-10-05,2023-07-19,2023-06-12,765312,CUST27,Janice Barton,4207,Société,Retrait,REF27,1.22,7,2023-01-24
28,Wiggins,Donna,patrickmorris@example.org,45,F,565723425785,Tourisme,47849,CTX,CCT,2020-08-01,2023-08-15,2022-11-16,287028,CUST28,Eric Jenkins,2760,TRE,Virement,REF28,4.94,1,2022-09-12
29,Flores,Paul,wheelerjoshua@example.org,50,M,91607223211,Agriculture,92483,CTX,CCT,2020-04-12,2022-12-12,2023-05-18,505167,CUST29,Ricky Snyder,360,Société,Versement,REF29,4.63,7,2021-11-06
30,Wiley,Paul,rgutierrez@example.com,53,M,303442842116,Travaux Publics,54075,Arrangement C.,CCT,2021-04-05,2023-10-01,2023-04-20,29241,CUST30,Kellie Cameron,4390,TRE,Versement,REF30,3.18,1,2023-02-03
31,Ryan,Valerie,petersenjanet@example.com,49,M,131412332038,Autre activité,37618,CTX,CR,2019-08-12,2023-04-24,2023-02-02,717755,CUST31,Julie Buckley,3227,Société,Virement,REF31,3.88,3,2022-07-13
32,Adams,Katelyn,mcguirelisa@example.com,64,F,766709490551,Commerce et Dist.,91323,Arrangement C.,CCT,2022-03-24,2023-02-11,2023-04-20,210587,CUST32,Amanda Hamilton,2066,TRE,Versement,REF32,1.97,10,2023-01-26
33,Smith,Lauren,bryan23@example.net,55,M,411198345035,Santé,39105,CTX,CR,2021-03-11,2023-09-20,2023-03-22,791005,CUST33,Jeffrey Thompson,4141,Personnel,Virement,REF33,1.69,8,2023-07-21
34,Wright,Laura,anthonyvasquez@example.net,59,M,748608953374,Tourisme,49347,Arrangement C.,CR,2020-07-20,2023-08-04,2023-05-06,579954,CUST34,Elizabeth Evans,2605,Personnel,Virement,REF34,2.67,10,2022-10-03
35,Morales,Jason,odavis@example.net,55,F,688669097767,Santé,92739,Arrangement C.,CR,2022-09-08,2023-03-22,2023-03-16,673410,CUST35,Thomas Jones DDS,2435,Personnel,Virement,REF35,1.5,9,2023-01-26
36,Cain,Justin,bruceveronica@example.net,25,F,568684367580,Autre activité,88776,Arrangement C.,CR,2022-10-20,2022-11-30,2023-02-28,687769,CUST36,Ryan Weaver,4124,Société,Retrait,REF36,3.96,5,2022-04-27
37,Howard,Robert,delacruzcarrie@example.com,60,F,241943540389,Commerce et Dist.,61531,Arrangement C.,CCT,2023-09-19,2023-01-11,2022-12-06,807849,CUST37,Mark Price,2402,Société,Retrait,REF37,3.04,8,2023-10-04
38,Russo,George,echang@example.org,48,M,95719039008,Commerce et Dist.,99500,CTX,CR,2018-11-14,2023-04-26,2023-05-19,579675,CUST38,Nicholas Esparza,2702,Société,Retrait,REF38,4.1,4,2023-09-05
39,Smith,Raymond,chasejoseph@example.org,69,M,301431515126,Santé,93252,CTX,CCT,2020-11-29,2023-05-11,2023-04-09,58826,CUST39,Sandra West,3000,Société,Retrait,REF39,3.03,5,2023-07-26
40,Brown,Kathy,thompsonamy@example.net,25,F,834674688161,Tourisme,91213,CTX,CCT,2020-01-08,2023-05-25,2023-04-03,99165,CUST40,Alejandro Jones,1080,Société,Versement,REF40,3.86,4,2023-01-25
41,Manning,Ryan,youngkylie@example.net,65,M,616433826810,Travaux Publics,91808,Arrangement C.,CCT,2022-10-18,2023-09-03,2023-03-25,193289,CUST41,Jason Terry,271,Société,Versement,REF41,4.82,7,2023-02-06
42,Russo,Michelle,moorecristian@example.net,25,M,383343412633,Tourisme,42335,Arrangement C.,CCT,2023-02-10,2022-11-14,2023-03-04,536639,CUST42,Brenda Palmer,1650,Personnel,Retrait,REF42,1.87,9,2023-05-28
43,Taylor,Melanie,ballardanna@example.com,70,M,582494122820,Agriculture,42390,CTX,CR,2022-06-06,2023-09-03,2023-06-07,138704,CUST43,Jordan Larsen,2297,Personnel,Versement,REF43,2.08,1,2022-05-09
44,Johnson,Stephanie,wrighttyler@example.org,62,M,333351584750,Commerce et Dist.,45841,Arrangement C.,CR,2023-10-06,2023-03-14,2023-02-25,515094,CUST44,Nicholas Dominguez,2070,TRE,Retrait,REF44,4.26,8,2022-06-14
45,Morse,Michele,frederick08@example.com,61,F,376882498793,Travaux Publics,9571,CTX,CR,2020-03-30,2023-05-28,2023-05-12,393556,CUST45,Philip Hernandez,4525,TRE,Retrait,REF45,4.79,4,2023-10-05
46,Smith,Chad,dawsonjose@example.com,57,M,471485035508,Autre activité,74696,Arrangement C.,CR,2019-05-23,2023-03-31,2023-03-19,283750,CUST46,Seth White,4143,Personnel,Virement,REF46,4.93,6,2022-09-15
47,Hodges,Dale,gandrews@example.com,66,M,894677628703,Travaux Publics,36109,Arrangement C.,CCT,2018-10-22,2022-11-06,2023-06-15,168850,CUST47,Martha Ramirez,2241,TRE,Virement,REF47,4.67,10,2022-06-20
48,Barnett,Donald,deckerbrenda@example.com,64,M,446853663497,Travaux Publics,67631,CTX,CR,2021-08-07,2023-06-27,2022-11-10,548333,CUST48,Brian Chapman,3222,Société,Retrait,REF48,1.44,7,2022-01-29
49,Tucker,Tammy,bcohen@example.net,51,F,837467205084,Agriculture,7065,Arrangement C.,CR,2022-06-26,2023-02-06,2023-01-01,413308,CUST49,Katie Duarte,238,TRE,Versement,REF49,2.79,2,2022-12-30
50,Jensen,Roger,icooke@example.org,24,M,150286502387,Commerce et Dist.,52192,CTX,CCT,2019-10-23,2023-07-27,2022-10-17,889664,CUST50,Makayla Lopez,3291,Société,Versement,REF50,3.02,6,2021-10-11
51,Davis,Raymond,nicole93@example.com,69,M,750777957411,Commerce et Dist.,70426,CTX,CR,2019-05-04,2022-12-13,2022-10-19,465542,CUST51,Brenda Sullivan,2229,TRE,Retrait,REF51,4.5,7,2023-09-11
52,Perez,Matthew,robert07@example.net,21,F,126577877265,Santé,90052,CTX,CCT,2021-05-01,2023-03-06,2023-08-31,629162,CUST52,William Park,4906,Société,Versement,REF52,2.88,10,2023-01-03
53,Flynn,Allen,douglas65@example.net,48,M,128972011141,Travaux Publics,98784,CTX,CR,2021-11-22,2023-07-29,2023-03-21,678622,CUST53,Susan Carlson,4368,Personnel,Virement,REF53,2.3,3,2022-07-20
54,Green,Alexandra,vcopeland@example.net,20,F,897619743376,Agriculture,20306,CTX,CCT,2021-11-25,2023-04-13,2023-06-28,436053,CUST54,Michelle Ramirez,1122,Société,Virement,REF54,2.22,10,2022-03-31
55,Torres,Nicole,pjefferson@example.net,36,F,260744536003,Transport,55907,CTX,CCT,2022-01-09,2023-04-07,2022-10-20,602699,CUST55,Kristopher Henry,1481,TRE,Retrait,REF55,4.69,7,2022-10-08
56,Sweeney,Alexa,john76@example.com,36,F,619100476135,Autre activité,54460,Arrangement C.,CCT,2020-08-13,2023-08-14,2023-07-11,667913,CUST56,Kevin Lawrence,3047,Personnel,Virement,REF56,1.4,6,2022-06-22
57,Johnson,Victoria,mooretristan@example.org,38,F,670513870580,Commerce et Dist.,98026,CTX,CR,2020-12-25,2023-03-01,2023-06-08,742858,CUST57,Kelly Dean,3379,Société,Retrait,REF57,3.74,10,2023-02-27
58,Turner,Sarah,sarah25@example.com,34,M,203847185226,Commerce et Dist.,86539,Arrangement C.,CCT,2021-10-26,2023-08-02,2023-08-03,282056,CUST58,Hector Garcia,4544,Société,Virement,REF58,3.82,1,2022-06-05
59,Lane,William,suzanne80@example.com,48,M,810975974205,Transport,81181,CTX,CR,2019-04-06,2023-09-23,2023-08-31,626575,CUST59,Diana Parker MD,4475,TRE,Virement,REF59,4.3,4,2021-10-25
60,Orr,Eric,sean95@example.org,22,F,669745276597,Transport,62232,CTX,CR,2020-05-11,2023-07-16,2023-03-17,421848,CUST60,Hannah Jackson,3213,Société,Versement,REF60,2.24,3,2022-06-07
61,Massey,Kimberly,brenda98@example.net,31,M,694123727782,Transport,24110,CTX,CR,2020-09-10,2023-02-19,2023-08-11,965047,CUST61,James Cochran,3677,Société,Virement,REF61,2.94,9,2021-10-16
62,Miller,Tiffany,davidnelson@example.net,31,M,514303976421,Tourisme,49635,Arrangement C.,CCT,2023-02-11,2023-06-28,2022-11-02,170545,CUST62,Gregory Lewis,1795,TRE,Virement,REF62,2.71,5,2022-07-01
63,Arnold,Jeremy,ieaton@example.org,66,F,768836515075,Commerce et Dist.,59619,Arrangement C.,CCT,2023-03-13,2023-02-06,2023-03-20,49494,CUST63,Rebecca Mitchell,486,TRE,Retrait,REF63,3.34,3,2023-05-07
64,Bowers,Ashley,sanchezandrew@example.com,32,M,551620615868,Tourisme,58932,Arrangement C.,CR,2020-01-14,2022-12-03,2023-06-09,717598,CUST64,Jeffrey Goodman,3114,Personnel,Virement,REF64,2.21,9,2022-12-24
65,Mckenzie,William,tcoffey@example.org,48,F,425852066270,Travaux Publics,78667,Arrangement C.,CR,2022-11-24,2023-05-13,2023-07-14,358524,CUST65,Ashley Russell,1932,Personnel,Versement,REF65,3.89,7,2022-09-17
66,Wilkinson,David,yburton@example.net,58,M,713569967817,Transport,81251,CTX,CCT,2021-09-13,2022-11-09,2023-05-04,843334,CUST66,Jeffrey Smith,965,TRE,Retrait,REF66,1.6,7,2022-04-29
67,Young,Scott,tgraves@example.com,57,F,64637050440,Transport,19823,Arrangement C.,CR,2019-03-22,2022-12-23,2023-02-03,993760,CUST67,Jesse Sutton,4910,Société,Retrait,REF67,3.18,4,2022-04-27
68,Garcia,Karen,ashleysaunders@example.com,39,F,740278192658,Commerce et Dist.,71522,CTX,CCT,2021-03-04,2023-03-29,2023-01-19,263916,CUST68,Jason Fields,273,TRE,Virement,REF68,1.2,6,2021-11-04
69,Odonnell,Tanya,wardcarlos@example.org,22,F,279576120335,Commerce et Dist.,57966,CTX,CCT,2019-10-12,2023-08-07,2022-10-12,174327,CUST69,Robert Munoz,2085,TRE,Virement,REF69,4.59,8,2021-12-02
70,Atkins,Kimberly,christopher93@example.net,26,M,134646426905,Tourisme,32090,CTX,CR,2022-05-08,2023-08-13,2023-08-09,163927,CUST70,Linda Benton,4905,TRE,Virement,REF70,2.95,3,2023-01-15
71,Jones,Carmen,velasqueznancy@example.com,68,M,331566987123,Transport,93482,Arrangement C.,CCT,2022-08-26,2023-03-16,2022-10-27,116036,CUST71,Carla Ellis,3407,Société,Versement,REF71,3.39,7,2022-09-23
72,Jensen,Felicia,blackburnaustin@example.org,44,F,593344715835,Tourisme,97316,CTX,CCT,2018-12-23,2022-12-26,2023-07-08,385526,CUST72,Margaret Young,1257,Personnel,Virement,REF72,2.25,8,2023-10-09
73,Graham,Benjamin,hooverlarry@example.org,60,F,655997881514,Travaux Publics,64597,Arrangement C.,CCT,2019-07-25,2023-03-22,2023-07-09,792440,CUST73,Tammy Price,1911,Société,Versement,REF73,3.97,2,2023-03-20
74,Malone,Steven,bpope@example.org,18,F,350755887293,Travaux Publics,82499,CTX,CR,2018-11-02,2022-11-10,2023-01-03,253587,CUST74,Catherine Garcia,208,Société,Retrait,REF74,1.34,1,2022-04-19
75,Anthony,Bryce,idelgado@example.net,60,M,592991885495,Commerce et Dist.,27921,CTX,CR,2021-05-31,2023-09-09,2022-11-03,923476,CUST75,Jennifer Henderson,1543,Société,Versement,REF75,4.18,3,2023-08-23
76,Wright,Heather,chambersmatthew@example.com,23,F,78539715787,Tourisme,60752,Arrangement C.,CCT,2018-11-18,2023-02-01,2023-10-04,258782,CUST76,Alicia Garcia,1685,TRE,Retrait,REF76,3.82,10,2023-05-07
77,Waller,Gregory,brooksdavid@example.net,60,M,116074831828,Autre activité,11558,CTX,CCT,2021-08-30,2023-05-12,2023-03-31,727297,CUST77,Albert Orozco,2862,TRE,Versement,REF77,2.28,5,2023-08-02
78,Conner,Stephanie,michelle17@example.net,28,M,492369627047,Transport,88702,CTX,CCT,2019-03-21,2023-09-10,2023-04-26,905258,CUST78,Jessica Perry,304,Personnel,Retrait,REF78,1.77,6,2023-05-05
79,Keller,Melissa,dpotts@example.org,65,F,997666540717,Autre activité,36286,CTX,CR,2023-04-30,2023-06-11,2023-09-09,436827,CUST79,Brent Ruiz,1244,Société,Virement,REF79,2.06,5,2022-05-23
80,Lopez,David,curtisarnold@example.net,34,M,67781619150,Autre activité,51932,CTX,CR,2018-12-14,2023-02-08,2023-07-29,614860,CUST80,Matthew Smith,1944,Société,Virement,REF80,2.5,4,2022-02-21
81,Young,Holly,deannaweber@example.org,56,F,227299440254,Autre activité,2071,CTX,CCT,2021-05-13,2023-03-02,2023-07-05,240191,CUST81,Mark Martinez,900,TRE,Virement,REF81,2.71,8,2022-09-11
82,Hall,Sean,veronica84@example.net,64,M,674441776232,Commerce et Dist.,56656,CTX,CR,2022-10-03,2023-02-07,2023-04-22,236546,CUST82,Alexa Wallace,2984,Société,Virement,REF82,1.76,6,2021-10-11
83,Sims,Douglas,tiffany25@example.net,69,F,74621582017,Autre activité,37660,Arrangement C.,CR,2018-12-29,2023-09-08,2023-09-27,249018,CUST83,Gary Joseph,3609,TRE,Virement,REF83,2.57,9,2023-07-27
84,French,Scott,wesley58@example.net,56,F,994466131488,Autre activité,9939,CTX,CR,2020-11-18,2022-12-11,2022-12-28,36454,CUST84,Susan Peterson,392,Société,Retrait,REF84,4.46,2,2022-01-25
85,Hanson,Tiffany,poolebrandon@example.com,27,M,69314101341,Santé,12796,Arrangement C.,CR,2021-06-16,2023-05-13,2023-03-08,537931,CUST85,Brittney Jarvis,4042,Personnel,Retrait,REF85,4.81,6,2022-03-23
86,Potter,Rick,ericmills@example.org,32,F,463248603802,Agriculture,12427,Arrangement C.,CR,2022-06-01,2023-08-12,2023-09-11,563024,CUST86,Hannah Rodriguez,2944,Personnel,Versement,REF86,3.44,3,2022-07-17
87,Powell,Valerie,browningkerri@example.org,40,F,958968653295,Autre activité,5897,Arrangement C.,CR,2019-01-29,2023-10-09,2023-09-14,447997,CUST87,Brianna Santana,4513,Personnel,Retrait,REF87,1.39,2,2022-02-20
88,Daniel,Angel,zsingleton@example.org,66,M,173242492201,Commerce et Dist.,66182,CTX,CR,2020-02-26,2023-03-30,2023-03-01,602830,CUST88,Kiara Brown,1508,TRE,Versement,REF88,1.69,6,2022-03-24
89,Manning,Kathy,rosariolawrence@example.org,51,F,133407541,Tourisme,2868,Arrangement C.,CR,2023-01-03,2023-09-05,2023-07-02,665239,CUST89,Olivia Potter,3493,TRE,Versement,REF89,1.29,3,2022-09-20
90,Hines,Matthew,smithkristy@example.net,18,M,193990207944,Autre activité,41759,CTX,CR,2023-08-23,2022-12-03,2023-07-23,964055,CUST90,Brian Conner,3877,Personnel,Virement,REF90,4.52,3,2022-09-16
91,Williams,Shannon,wschroeder@example.org,35,M,43034700817,Transport,22235,Arrangement C.,CR,2019-02-13,2023-07-11,2023-09-20,927154,CUST91,Amanda Fry,2665,Personnel,Retrait,REF91,1.08,4,2021-10-19
92,Rose,Tony,farleyjennifer@example.net,25,F,284339522650,Commerce et Dist.,91442,Arrangement C.,CR,2021-08-25,2022-12-14,2023-09-15,873920,CUST92,John Wilson,3066,TRE,Versement,REF92,1.53,4,2023-03-16
93,Rivers,Jorge,thomas46@example.org,60,F,892421264007,Agriculture,80351,CTX,CR,2022-06-22,2023-04-26,2022-10-25,896602,CUST93,Billy Petty,4805,TRE,Versement,REF93,1.14,8,2023-05-09
94,Martin,Luke,rebeccaolsen@example.net,64,M,144425233032,Agriculture,24387,CTX,CCT,2019-05-04,2023-09-29,2023-02-18,244923,CUST94,Corey Spencer,3085,TRE,Retrait,REF94,1.44,5,2022-08-29
95,Bell,Christopher,johnsonbrandon@example.com,43,F,566345271886,Commerce et Dist.,99730,Arrangement C.,CR,2021-11-07,2023-02-23,2023-03-20,102178,CUST95,Lucas Reyes,3385,TRE,Versement,REF95,4.24,4,2023-07-05
96,Johnson,Jorge,mooredustin@example.com,69,F,468806313243,Commerce et Dist.,40589,Arrangement C.,CCT,2022-03-30,2022-10-30,2023-05-16,235581,CUST96,Charles Young,4542,Société,Virement,REF96,2.26,8,2022-12-18
97,Spears,Lauren,anthony01@example.net,40,F,2732987344,Travaux Publics,73210,CTX,CR,2021-03-19,2022-11-16,2023-02-26,49269,CUST97,Marc Gonzalez DDS,4545,Société,Versement,REF97,2.58,9,2023-01-16
98,Thompson,Tara,michelle96@example.com,18,F,234064904676,Commerce et Dist.,52397,Arrangement C.,CCT,2020-03-14,2023-07-03,2022-12-05,339903,CUST98,Eric Terry,788,TRE,Retrait,REF98,4.82,5,2022-07-16
99,Gonzalez,Leonard,pbowen@example.net,69,M,304245346028,Agriculture,52536,Arrangement C.,CCT,2023-09-15,2023-03-08,2023-10-02,514827,CUST99,Rebecca Myers,1262,Société,Versement,REF99,4.86,2,2022-03-15
100,Young,Wesley,frankberg@example.org,69,M,925767863096,Autre activité,51821,CTX,CCT,2020-09-12,2023-02-19,2023-08-09,539865,CUST100,Darrell Price,2844,Personnel,Retrait,REF100,1.83,1,2022-01-26
101,Roberts,Rick,youngjacob@example.com,35,F,119321068361,Travaux Publics,83106,Arrangement C.,CCT,2020-08-22,2023-09-23,2022-10-16,761401,CUST101,Courtney Brewer,4964,Société,Virement,REF101,1.38,3,2022-02-11
102,Santana,Jennifer,davidmendez@example.com,39,M,176845778730,Transport,63330,Arrangement C.,CCT,2019-03-31,2023-09-13,2022-12-29,194014,CUST102,Dennis Dean,1542,Personnel,Retrait,REF102,3.76,2,2023-04-06
103,Andrews,Amanda,wolfdeborah@example.com,27,M,592440949393,Santé,95122,Arrangement C.,CR,2020-11-13,2023-09-14,2023-08-26,456557,CUST103,Antonio Hamilton MD,3771,TRE,Virement,REF103,3.35,9,2023-09-21
104,Mullins,Nicholas,barryreed@example.com,63,M,148806018326,Commerce et Dist.,63981,CTX,CCT,2019-02-25,2022-11-07,2023-10-10,467129,CUST104,Bradley Ray,417,Personnel,Versement,REF104,1.08,9,2022-09-19
105,Richardson,Sierra,davidmitchell@example.com,66,M,138203167386,Autre activité,87202,Arrangement C.,CCT,2019-05-27,2023-03-11,2023-01-12,216106,CUST105,Joe Riley,2091,TRE,Virement,REF105,4.85,6,2023-06-15
106,Sanders,Jacob,rsilva@example.net,50,F,765851818953,Travaux Publics,99222,CTX,CR,2021-09-30,2023-03-20,2023-07-19,923521,CUST106,Evelyn King,2661,Personnel,Versement,REF106,2.37,9,2023-05-21
107,Patel,Mary,cynthia56@example.org,31,F,582385742213,Transport,37115,Arrangement C.,CCT,2020-09-29,2023-08-13,2023-05-21,116973,CUST107,Holly Miller,2925,Société,Virement,REF107,4.16,5,2021-10-19
108,Dorsey,Kristina,brownkyle@example.org,28,M,928587573408,Travaux Publics,61628,Arrangement C.,CCT,2019-09-05,2023-06-21,2023-02-14,432842,CUST108,Alyssa Gibson,3368,TRE,Retrait,REF108,3.21,8,2023-06-02
109,Wilson,Julie,lewiskimberly@example.com,53,F,978074048150,Transport,84818,Arrangement C.,CCT,2021-06-09,2023-05-05,2023-05-26,976684,CUST109,Matthew Jenkins,1111,Personnel,Retrait,REF109,3.75,4,2022-08-01
110,Walton,Dennis,melissa06@example.com,52,M,674918746307,Transport,99564,Arrangement C.,CR,2021-03-21,2023-05-10,2022-10-31,995755,CUST110,Toni James,361,Personnel,Versement,REF110,3.17,7,2023-09-15
111,Wong,Peggy,ksimmons@example.org,20,F,735830176036,Transport,22377,CTX,CR,2021-04-11,2023-04-06,2023-06-06,598023,CUST111,John Love,1639,Personnel,Virement,REF111,1.85,10,2021-11-16
112,Harris,Anna,thompsonmatthew@example.org,34,M,146270419887,Autre activité,70010,Arrangement C.,CR,2023-02-14,2023-05-25,2023-01-02,480473,CUST112,Kimberly Shah,568,Société,Virement,REF112,1.69,5,2022-07-18
113,Montoya,Mary,mary41@example.org,47,M,380288055419,Transport,84745,CTX,CCT,2020-12-20,2023-04-05,2023-03-06,559829,CUST113,Meagan Watson,3016,Personnel,Virement,REF113,2.44,1,2022-12-06
114,Holland,Hayley,barronkayla@example.org,51,M,808344542906,Commerce et Dist.,79525,Arrangement C.,CR,2022-09-21,2023-08-15,2023-07-06,351492,CUST114,Ashley Carlson,2312,Personnel,Retrait,REF114,4.86,10,2022-10-11
115,Fisher,Nicole,tclark@example.com,33,M,637893893162,Santé,6516,CTX,CCT,2020-08-13,2023-09-18,2023-09-25,372215,CUST115,Nicole Dodson,3706,Société,Retrait,REF115,3.59,8,2023-08-08
116,Avery,Laura,christine67@example.org,20,M,558437316314,Santé,93884,CTX,CCT,2022-07-17,2023-04-14,2023-05-04,246640,CUST116,Brenda Harvey,3800,Personnel,Virement,REF116,2.28,9,2023-05-21
117,Robinson,Joseph,xramos@example.net,68,F,563235413567,Transport,36898,CTX,CCT,2023-09-19,2023-07-13,2022-10-14,214587,CUST117,Jeffrey Moore,4392,TRE,Virement,REF117,2.0,4,2022-11-05
118,Lee,Olivia,jacquelinehopkins@example.com,35,M,96008636752,Santé,72555,Arrangement C.,CR,2021-12-09,2023-02-10,2022-11-01,819844,CUST118,Jeremy Carr,3983,Personnel,Virement,REF118,2.63,7,2022-03-15
119,Moyer,Christopher,kellyturner@example.net,23,F,796552709149,Tourisme,89629,Arrangement C.,CR,2023-02-14,2023-02-18,2023-07-05,140566,CUST119,Joshua Aguilar,2436,TRE,Versement,REF119,2.09,10,2022-03-17
